State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,address_for_geocode,latitude,longitude,reverse_address,location_name
Delhi,Rohini,2022,September,Thursday,9:15,Minor,2,Two-Wheeler,0,0,Rainy,State Highway,Damaged,Dusk,Signs,87,49,Male,,Yes,Straight Road,"Rohini, Delhi",28.7162092,77.1170743,"HL Parwana Road, Rohini, - 110085, Delhi, India",Rohini
Haryana,Unknown,2020,March,Monday,20:24,Fatal,2,Bus,3,4,Clear,Urban Road,Under Construction,Dusk,Signals,91,35,Female,Expired,Yes,Curve,"Unknown, Haryana",28.4154906,77.0919333,"Fountain of the unknown, CRPF Road, Brahma City, Gurugram - 122011, Haryana, India",CRPF Road
Punjab,Unknown,2023,July,Saturday,10:14,Minor,5,Pedestrian,5,4,Clear,Urban Road,Wet,Dark,Signals,111,58,Male,,No,Intersection,"Unknown, Punjab",30.86017,72.31976,"Faisalabad Division, unnamed road, Toba Tek Singh Tehsil, Punjab, Pakistan",unnamed road
Assam,Unknown,2020,January,Sunday,23:22,Serious,5,Cycle,4,4,Foggy,Urban Road,Damaged,Dark,Signs,99,58,Female,Valid,No,Curve,"Unknown, Assam",26.492533,92.3308789,"unnamed road, Marigaon, -, Assam, India",Marigaon
Odisha,Unknown,2023,May,Wednesday,6:14,Fatal,5,Cycle,4,4,Foggy,National Highway,Damaged,Dusk,Police Checkpost,58,47,Male,Valid,No,Straight Road,"Unknown, Odisha",18.9668959,84.3684974,"Unknown Temple, Bhima point tracking Path, Gajapati, Burakhat, Odisha, India",Bhima point tracking Path
Chhattisgarh,Unknown,2023,April,Tuesday,17:10,Fatal,1,Auto-Rickshaw,2,5,Hazy,Urban Road,Dry,Daylight,Signs,117,50,Male,,No,Straight Road,"Unknown, Chhattisgarh",21.5,82.0,"unnamed road, Baloda Bazar, - 493196, Chhattisgarh, India",Baloda Bazar
Sikkim,Unknown,2018,June,Saturday,5:53,Serious,2,Two-Wheeler,3,2,Rainy,State Highway,Wet,Dusk,Police Checkpost,40,48,Female,Valid,Yes,Curve,"Unknown, Sikkim",27.75,88.5,"Lachen, Chungthang, India",Chungthang
Mizoram,Unknown,2019,June,Monday,5:35,Minor,4,Cycle,6,5,Foggy,Urban Road,Under Construction,Daylight,Signs,35,47,Female,Expired,Yes,Straight Road,"Unknown, Mizoram",23.4420261,92.9982011,"Dirt path, Serchhip, -, Mizoram, India",Serchhip
West Bengal,Siliguri,2018,August,Thursday,3:40,Serious,1,Auto-Rickshaw,8,0,Stormy,Village Road,Under Construction,Daylight,Signals,48,28,Male,Valid,No,Bridge,"Siliguri, West Bengal",26.7164127,88.4309916,"unnamed road, Darjeeling, Siliguri - 734001, West Bengal, India",Darjeeling
Bihar,Unknown,2019,May,Sunday,5:19,Minor,3,Truck,7,4,Stormy,National Highway,Under Construction,Daylight,Signs,118,22,Female,Valid,Yes,Straight Road,"Unknown, Bihar",47.053215,21.9345955,"Statue of the Unknown Soldier, Piața 1 Decembrie, 410068 Oradea, Romania",Piața 1 Decembrie
Tripura,Unknown,2018,February,Wednesday,0:6,Serious,5,Cycle,1,4,Clear,National Highway,Damaged,Dark,Signals,53,26,Male,,Yes,Intersection,"Unknown, Tripura",24.0,92.0,"unnamed road, Dhalai, Manu - 799275, Tripura, India",Dhalai
West Bengal,Durgapur,2021,July,Saturday,3:30,Minor,3,Auto-Rickshaw,0,2,Clear,State Highway,Under Construction,Dark,Signals,38,69,Male,Expired,No,Intersection,"Durgapur, West Bengal",23.5350475,87.3380425,"unnamed road, Paschim Bardhaman, Durgapur - 713200, West Bengal, India",Paschim Bardhaman
Rajasthan,Udaipur,2023,December,Tuesday,22:0,Minor,5,Car,6,4,Clear,Village Road,Wet,Dusk,Police Checkpost,62,38,Female,Expired,Yes,Straight Road,"Udaipur, Rajasthan",24.578721,73.6862571,"unnamed road, Udaipur, Udaipur - 313001, Rajasthan, India",Udaipur
Tripura,Unknown,2018,April,Wednesday,20:12,Serious,1,Bus,8,3,Foggy,National Highway,Damaged,Dawn,,90,43,Female,Expired,No,Curve,"Unknown, Tripura",24.0,92.0,"unnamed road, Dhalai, Manu - 799275, Tripura, India",Dhalai
Bihar,Unknown,2021,January,Sunday,20:17,Fatal,3,Bus,9,3,Foggy,National Highway,Wet,Daylight,Signs,40,40,Female,Expired,No,Intersection,"Unknown, Bihar",47.053215,21.9345955,"Statue of the Unknown Soldier, Piața 1 Decembrie, 410068 Oradea, Romania",Piața 1 Decembrie
Rajasthan,Udaipur,2022,February,Tuesday,12:25,Serious,4,Car,6,3,Hazy,Urban Road,Under Construction,Dawn,,51,47,Male,,No,Intersection,"Udaipur, Rajasthan",24.578721,73.6862571,"unnamed road, Udaipur, Udaipur - 313001, Rajasthan, India",Udaipur
Jharkhand,Unknown,2023,June,Tuesday,7:2,Fatal,5,Two-Wheeler,2,0,Stormy,State Highway,Wet,Dawn,,83,40,Female,Expired,No,Curve,"Unknown, Jharkhand",23.75,85.5,"unnamed road, Ramgarh, - 825316, Jharkhand, India",Ramgarh
Delhi,New Delhi,2023,October,Tuesday,22:37,Serious,3,Pedestrian,6,3,Clear,National Highway,Damaged,Daylight,Signs,55,64,Male,Expired,Yes,Straight Road,"New Delhi, Delhi",28.6430858,77.2192671,"New Delhi, Foot Over Bridge 1, Central Delhi, Delhi - 110006, Delhi, India",Foot Over Bridge 1
Punjab,Unknown,2018,June,Monday,0:54,Minor,4,Car,1,3,Hazy,Village Road,Wet,Dark,Signals,106,45,Female,Valid,Yes,Intersection,"Unknown, Punjab",30.86017,72.31976,"Faisalabad Division, unnamed road, Toba Tek Singh Tehsil, Punjab, Pakistan",unnamed road
Sikkim,Unknown,2020,April,Saturday,4:9,Minor,5,Pedestrian,5,2,Stormy,State Highway,Under Construction,Dark,Police Checkpost,120,40,Female,,No,Bridge,"Unknown, Sikkim",27.75,88.5,"Lachen, Chungthang, India",Chungthang
Tamil Nadu,Chennai,2018,May,Tuesday,12:58,Minor,4,Pedestrian,9,2,Foggy,Urban Road,Under Construction,Dusk,,117,60,Female,Expired,Yes,Straight Road,"Chennai, Tamil Nadu",13.0836939,80.270186,"KFC, Rama Pillai Street, Zone 5 Royapuram, Chennai - 600001, Tamil Nadu, India",Rama Pillai Street
Uttarakhand,Unknown,2020,June,Monday,13:34,Fatal,1,Auto-Rickshaw,3,0,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,50,29,Female,Expired,Yes,Curve,"Unknown, Uttarakhand",30.25,79.25,"Gopeshwar Road, Chamoli, Pipalsera - 246444, Uttarakhand, India",Chamoli
Himachal Pradesh,Unknown,2020,November,Monday,3:3,Minor,4,Bus,5,0,Rainy,National Highway,Damaged,Daylight,Police Checkpost,32,60,Female,Valid,Yes,Intersection,"Unknown, Himachal Pradesh",32.176123,76.6980857,"Unknown Tea Shop, Jalsu Binwa Stream, Kangra, -, Himachal Pradesh, India",Jalsu Binwa Stream
Gujarat,Ahmedabad,2022,June,Wednesday,15:17,Fatal,1,Cycle,9,1,Hazy,State Highway,Damaged,Dusk,Police Checkpost,32,23,Male,Valid,Yes,Intersection,"Ahmedabad, Gujarat",23.0215374,72.5800568,"Dargah, Swami Vivekananda Road, Khadia, Ahmedabad - 380001, Gujarat, India",Swami Vivekananda Road
Uttar Pradesh,Varanasi,2018,October,Tuesday,19:42,Serious,2,Car,7,0,Stormy,State Highway,Dry,Dusk,Signs,106,22,Male,Expired,No,Curve,"Varanasi, Uttar Pradesh",25.3356491,83.0076292,"unnamed road, Pilokothi, Varanasi - 221001, Uttar Pradesh, India",Pilokothi
Madhya Pradesh,Unknown,2020,August,Sunday,14:42,Serious,5,Two-Wheeler,6,1,Hazy,Urban Road,Under Construction,Dawn,,34,38,Female,Valid,No,Straight Road,"Unknown, Madhya Pradesh",21.8464578,79.9459294,"Unknown, Waraseoni Tahsil, India",Waraseoni Tahsil
Karnataka,Mangalore,2019,January,Tuesday,12:21,Fatal,3,Cycle,6,2,Hazy,State Highway,Damaged,Dark,Police Checkpost,41,22,Female,Expired,No,Curve,"Mangalore, Karnataka",12.8698101,74.8430082,"Jos Alukkas Jewellers, Light House Hill Road, Attavar, Mangaluru - 575001, Karnataka, India",Light House Hill Road
Manipur,Unknown,2019,August,Friday,2:1,Minor,5,Truck,1,4,Hazy,Urban Road,Wet,Daylight,Signs,120,67,Female,Expired,No,Straight Road,"Unknown, Manipur",25.0,94.0,"unnamed road, Kangpokpi district, Maibung Likli - 795118, Manipur, India",Kangpokpi district
Madhya Pradesh,Unknown,2019,February,Thursday,8:19,Serious,2,Cycle,8,2,Clear,Village Road,Under Construction,Dusk,Signs,84,66,Male,Valid,No,Curve,"Unknown, Madhya Pradesh",21.8464578,79.9459294,"Unknown, Waraseoni Tahsil, India",Waraseoni Tahsil
Uttarakhand,Unknown,2021,November,Sunday,13:44,Minor,4,Car,9,4,Stormy,State Highway,Under Construction,Daylight,,49,53,Female,,Yes,Curve,"Unknown, Uttarakhand",30.25,79.25,"Gopeshwar Road, Chamoli, Pipalsera - 246444, Uttarakhand, India",Chamoli
Jammu and Kashmir,Unknown,2021,October,Friday,11:52,Minor,1,Two-Wheeler,2,3,Stormy,Village Road,Under Construction,Dusk,Signals,79,54,Male,Expired,No,Straight Road,"Unknown, Jammu and Kashmir",33.91667,76.66667,"Rangdun-Lingshed, Sham Valley, -, Ladakh, India",Sham Valley
Goa,Unknown,2022,February,Friday,21:5,Fatal,4,Two-Wheeler,9,4,Hazy,Village Road,Wet,Daylight,Signals,95,27,Female,,No,Intersection,"Unknown, Goa",44.4264,8.91519,"Emanuelli Simoncini - Materiali edili, Via Bari, 16134 Genoa Genoa, Italy",Via Bari
Uttarakhand,Unknown,2021,May,Tuesday,0:41,Fatal,5,Cycle,1,2,Rainy,Urban Road,Damaged,Daylight,Police Checkpost,105,58,Female,,Yes,Straight Road,"Unknown, Uttarakhand",30.25,79.25,"Gopeshwar Road, Chamoli, Pipalsera - 246444, Uttarakhand, India",Chamoli
Chhattisgarh,Unknown,2021,November,Friday,4:24,Minor,1,Auto-Rickshaw,0,2,Stormy,State Highway,Damaged,Daylight,Police Checkpost,111,36,Male,Expired,Yes,Intersection,"Unknown, Chhattisgarh",21.5,82.0,"unnamed road, Baloda Bazar, - 493196, Chhattisgarh, India",Baloda Bazar
Maharashtra,Pune,2021,May,Thursday,13:53,Minor,2,Two-Wheeler,9,3,Stormy,Urban Road,Wet,Daylight,Signals,75,44,Male,,No,Intersection,"Pune, Maharashtra",18.5213738,73.8545071,"unnamed road, Shaniwar Peth, Pune - 411002, Maharashtra, India",Shaniwar Peth
Maharashtra,Mumbai,2021,May,Monday,1:4,Serious,3,Two-Wheeler,8,0,Hazy,Urban Road,Damaged,Dark,,50,40,Male,Valid,Yes,Straight Road,"Mumbai, Maharashtra",19.054999,72.8692035,"Lal Bahadur Shastri Marg, L Ward, Mumbai - 400024, Maharashtra, India",L Ward
Manipur,Unknown,2022,October,Saturday,0:6,Fatal,4,Bus,0,3,Clear,Urban Road,Dry,Dawn,Signs,98,27,Male,Expired,No,Straight Road,"Unknown, Manipur",25.0,94.0,"unnamed road, Kangpokpi district, Maibung Likli - 795118, Manipur, India",Kangpokpi district
Himachal Pradesh,Unknown,2023,March,Tuesday,5:14,Minor,3,Two-Wheeler,3,3,Stormy,Village Road,Damaged,Dark,Signs,93,22,Male,Valid,No,Intersection,"Unknown, Himachal Pradesh",32.176123,76.6980857,"Unknown Tea Shop, Jalsu Binwa Stream, Kangra, -, Himachal Pradesh, India",Jalsu Binwa Stream
Delhi,New Delhi,2021,September,Thursday,20:15,Serious,1,Truck,10,0,Stormy,National Highway,Damaged,Dusk,Signs,102,63,Female,Expired,Yes,Straight Road,"New Delhi, Delhi",28.6430858,77.2192671,"New Delhi, Foot Over Bridge 1, Central Delhi, Delhi - 110006, Delhi, India",Foot Over Bridge 1
Nagaland,Unknown,2021,January,Wednesday,14:19,Minor,1,Two-Wheeler,2,1,Foggy,State Highway,Dry,Daylight,Signals,38,69,Female,Valid,No,Intersection,"Unknown, Nagaland",26.08333,94.5,"Atoizu, India",India
Karnataka,Mysore,2023,March,Friday,21:18,Serious,3,Two-Wheeler,7,3,Clear,Urban Road,Wet,Dark,Signs,118,47,Female,Expired,Yes,Curve,"Mysore, Karnataka",12.3051828,76.6553609,"Mysore Palace, Sayyaji Rao Road, Vani Vilas, Mysuru - 570001, Karnataka, India",Sayyaji Rao Road
Manipur,Unknown,2022,May,Wednesday,17:8,Serious,5,Pedestrian,9,1,Hazy,Village Road,Damaged,Daylight,Signals,120,28,Female,Valid,Yes,Intersection,"Unknown, Manipur",25.0,94.0,"unnamed road, Kangpokpi district, Maibung Likli - 795118, Manipur, India",Kangpokpi district
Meghalaya,Unknown,2021,November,Saturday,22:53,Fatal,4,Auto-Rickshaw,2,4,Hazy,National Highway,Damaged,Daylight,,99,50,Female,,Yes,Straight Road,"Unknown, Meghalaya",25.5,91.33333,"West Khasi Hills, Nongstoin - 793119, Meghalaya, India",Nongstoin - 793119
Telangana,Unknown,2019,June,Wednesday,9:33,Minor,2,Truck,8,0,Hazy,Urban Road,Damaged,Dawn,Signs,30,20,Male,Valid,Yes,Straight Road,"Unknown, Telangana",17.83333,79.08333,"Jangaon, Bonakallur - 500010, Telangana, India",Bonakallur - 500010
Arunachal Pradesh,Unknown,2021,November,Monday,13:4,Minor,5,Cycle,1,2,Rainy,Urban Road,Under Construction,Dawn,,43,67,Male,Expired,Yes,Curve,"Unknown, Arunachal Pradesh",27.06,93.37,"Sangdupota (Basar Nello), Sangdupota Basar Nello Circle, India",Sangdupota Basar Nello Circle
Goa,Unknown,2019,August,Thursday,16:7,Minor,2,Car,3,5,Clear,Village Road,Damaged,Dark,Police Checkpost,62,50,Male,Expired,No,Intersection,"Unknown, Goa",44.4264,8.91519,"Emanuelli Simoncini - Materiali edili, Via Bari, 16134 Genoa Genoa, Italy",Via Bari
Punjab,Unknown,2021,November,Saturday,19:19,Serious,2,Truck,1,0,Hazy,Urban Road,Under Construction,Dawn,Signs,67,33,Female,Expired,Yes,Straight Road,"Unknown, Punjab",30.86017,72.31976,"Faisalabad Division, unnamed road, Toba Tek Singh Tehsil, Punjab, Pakistan",unnamed road
Bihar,Unknown,2023,April,Thursday,16:26,Minor,2,Car,7,4,Stormy,State Highway,Dry,Dawn,,54,26,Female,Expired,No,Bridge,"Unknown, Bihar",47.053215,21.9345955,"Statue of the Unknown Soldier, Piața 1 Decembrie, 410068 Oradea, Romania",Piața 1 Decembrie
Goa,Unknown,2021,May,Friday,11:16,Minor,1,Pedestrian,10,3,Rainy,National Highway,Wet,Daylight,Signals,97,45,Male,Valid,No,Bridge,"Unknown, Goa",44.4264,8.91519,"Emanuelli Simoncini - Materiali edili, Via Bari, 16134 Genoa Genoa, Italy",Via Bari
Haryana,Unknown,2023,December,Wednesday,13:48,Minor,1,Cycle,7,4,Rainy,Village Road,Damaged,Daylight,Signs,68,19,Male,Expired,No,Straight Road,"Unknown, Haryana",28.4154906,77.0919333,"Fountain of the unknown, CRPF Road, Brahma City, Gurugram - 122011, Haryana, India",CRPF Road
Gujarat,Ahmedabad,2020,April,Sunday,17:25,Minor,2,Auto-Rickshaw,10,2,Foggy,State Highway,Damaged,Dusk,Signals,110,38,Female,Expired,Yes,Bridge,"Ahmedabad, Gujarat",23.0215374,72.5800568,"Dargah, Swami Vivekananda Road, Khadia, Ahmedabad - 380001, Gujarat, India",Swami Vivekananda Road
Nagaland,Unknown,2021,April,Wednesday,22:45,Fatal,5,Auto-Rickshaw,5,0,Rainy,State Highway,Wet,Dark,Police Checkpost,35,62,Male,Valid,No,Bridge,"Unknown, Nagaland",26.08333,94.5,"Atoizu, India",India
Manipur,Unknown,2021,January,Wednesday,0:54,Serious,2,Truck,3,3,Foggy,State Highway,Under Construction,Dark,,42,38,Male,,Yes,Intersection,"Unknown, Manipur",25.0,94.0,"unnamed road, Kangpokpi district, Maibung Likli - 795118, Manipur, India",Kangpokpi district
Kerala,Unknown,2021,December,Friday,17:1,Serious,2,Two-Wheeler,10,4,Hazy,National Highway,Dry,Daylight,,100,30,Male,,No,Curve,"Unknown, Kerala",9.9627112,76.2897971,"Manikkath Road, Perumanoor, Ernakulam - 680016, Kerala, India",Perumanoor
Goa,Unknown,2019,June,Wednesday,14:59,Serious,2,Cycle,0,4,Foggy,Urban Road,Dry,Dark,Police Checkpost,109,48,Male,Expired,No,Straight Road,"Unknown, Goa",44.4264,8.91519,"Emanuelli Simoncini - Materiali edili, Via Bari, 16134 Genoa Genoa, Italy",Via Bari
Sikkim,Unknown,2021,August,Thursday,13:11,Serious,1,Auto-Rickshaw,0,4,Clear,State Highway,Wet,Dusk,Police Checkpost,59,60,Male,Expired,Yes,Straight Road,"Unknown, Sikkim",27.75,88.5,"Lachen, Chungthang, India",Chungthang
Puducherry,Unknown,2023,December,Wednesday,21:33,Serious,3,Auto-Rickshaw,4,2,Clear,Village Road,Under Construction,Dark,Signs,86,67,Female,Expired,No,Straight Road,"Unknown, Puducherry",11.93381,79.82979,"Petit Seminaire higher secondary school, 355, Needarajapayar Street, Grand Bazaar, Puducherry - 605001, Puducherry, India",355
Arunachal Pradesh,Unknown,2019,December,Thursday,11:33,Fatal,3,Pedestrian,7,0,Rainy,Village Road,Under Construction,Daylight,Signals,75,66,Female,,Yes,Curve,"Unknown, Arunachal Pradesh",27.06,93.37,"Sangdupota (Basar Nello), Sangdupota Basar Nello Circle, India",Sangdupota Basar Nello Circle
Uttar Pradesh,Lucknow,2021,April,Tuesday,21:9,Serious,2,Bus,2,2,Clear,Urban Road,Damaged,Dawn,Police Checkpost,49,50,Female,,No,Straight Road,"Lucknow, Uttar Pradesh",26.8381,80.9346001,"unnamed road, Ganesh Ganj, Lucknow - 226001, Uttar Pradesh, India",Ganesh Ganj
Goa,Unknown,2019,June,Monday,4:45,Fatal,5,Pedestrian,5,1,Foggy,State Highway,Under Construction,Dark,Signals,106,49,Female,,No,Straight Road,"Unknown, Goa",44.4264,8.91519,"Emanuelli Simoncini - Materiali edili, Via Bari, 16134 Genoa Genoa, Italy",Via Bari
Jharkhand,Unknown,2023,April,Monday,9:22,Serious,2,Two-Wheeler,6,5,Rainy,State Highway,Damaged,Dark,Signals,118,25,Male,Valid,No,Bridge,"Unknown, Jharkhand",23.75,85.5,"unnamed road, Ramgarh, - 825316, Jharkhand, India",Ramgarh
West Bengal,Kolkata,2020,August,Thursday,13:42,Fatal,4,Auto-Rickshaw,8,4,Hazy,National Highway,Wet,Dawn,,112,38,Female,,Yes,Bridge,"Kolkata, West Bengal",22.5726459,88.3638953,"Chatterjee Lane, Bowbazar, Kolkata - 700073, West Bengal, India",Bowbazar
Odisha,Unknown,2018,November,Thursday,16:36,Serious,4,Auto-Rickshaw,9,3,Foggy,National Highway,Under Construction,Dark,Police Checkpost,88,19,Male,,No,Curve,"Unknown, Odisha",18.9668959,84.3684974,"Unknown Temple, Bhima point tracking Path, Gajapati, Burakhat, Odisha, India",Bhima point tracking Path
Punjab,Unknown,2020,January,Monday,8:9,Serious,5,Truck,2,4,Stormy,State Highway,Wet,Dusk,,85,52,Male,Expired,Yes,Bridge,"Unknown, Punjab",30.86017,72.31976,"Faisalabad Division, unnamed road, Toba Tek Singh Tehsil, Punjab, Pakistan",unnamed road
Jharkhand,Unknown,2020,August,Monday,8:31,Serious,1,Pedestrian,6,2,Hazy,State Highway,Wet,Daylight,Signals,46,37,Male,Valid,Yes,Bridge,"Unknown, Jharkhand",23.75,85.5,"unnamed road, Ramgarh, - 825316, Jharkhand, India",Ramgarh
Bihar,Unknown,2023,April,Tuesday,8:55,Minor,5,Truck,0,4,Stormy,Urban Road,Wet,Dark,Signs,45,32,Male,Valid,Yes,Straight Road,"Unknown, Bihar",47.053215,21.9345955,"Statue of the Unknown Soldier, Piața 1 Decembrie, 410068 Oradea, Romania",Piața 1 Decembrie
Nagaland,Unknown,2019,March,Thursday,7:29,Serious,5,Auto-Rickshaw,1,5,Foggy,National Highway,Damaged,Dark,Signals,62,39,Male,,No,Straight Road,"Unknown, Nagaland",26.08333,94.5,"Atoizu, India",India
Jharkhand,Unknown,2023,February,Thursday,22:27,Minor,1,Car,0,1,Clear,Village Road,Dry,Daylight,Signs,65,19,Female,Expired,Yes,Straight Road,"Unknown, Jharkhand",23.75,85.5,"unnamed road, Ramgarh, - 825316, Jharkhand, India",Ramgarh
Kerala,Unknown,2022,October,Tuesday,0:7,Serious,4,Pedestrian,10,0,Stormy,State Highway,Under Construction,Dawn,Signs,66,23,Female,Valid,No,Curve,"Unknown, Kerala",9.9627112,76.2897971,"Manikkath Road, Perumanoor, Ernakulam - 680016, Kerala, India",Perumanoor
Sikkim,Unknown,2021,January,Wednesday,0:0,Minor,4,Bus,4,3,Stormy,Village Road,Wet,Dusk,Police Checkpost,91,47,Male,Expired,No,Bridge,"Unknown, Sikkim",27.75,88.5,"Lachen, Chungthang, India",Chungthang
Telangana,Unknown,2022,September,Wednesday,16:38,Fatal,3,Two-Wheeler,6,1,Clear,National Highway,Dry,Daylight,Signs,46,44,Male,Valid,Yes,Curve,"Unknown, Telangana",17.83333,79.08333,"Jangaon, Bonakallur - 500010, Telangana, India",Bonakallur - 500010
Goa,Unknown,2018,May,Tuesday,6:54,Minor,1,Cycle,1,2,Clear,National Highway,Wet,Dusk,Signs,119,40,Female,,Yes,Bridge,"Unknown, Goa",44.4264,8.91519,"Emanuelli Simoncini - Materiali edili, Via Bari, 16134 Genoa Genoa, Italy",Via Bari
Karnataka,Mysore,2019,March,Wednesday,17:11,Serious,1,Auto-Rickshaw,9,3,Hazy,Village Road,Wet,Dark,,57,39,Female,Valid,Yes,Intersection,"Mysore, Karnataka",12.3051828,76.6553609,"Mysore Palace, Sayyaji Rao Road, Vani Vilas, Mysuru - 570001, Karnataka, India",Sayyaji Rao Road
West Bengal,Kolkata,2018,May,Friday,17:10,Fatal,4,Car,10,2,Foggy,Urban Road,Under Construction,Daylight,Signs,115,32,Male,Valid,No,Intersection,"Kolkata, West Bengal",22.5726459,88.3638953,"Chatterjee Lane, Bowbazar, Kolkata - 700073, West Bengal, India",Bowbazar
Karnataka,Bangalore,2018,July,Sunday,23:46,Serious,5,Two-Wheeler,10,5,Clear,Village Road,Dry,Daylight,Signs,85,48,Female,Valid,No,Bridge,"Bangalore, Karnataka",12.9767936,77.590082,"Doctor B R Ambedkar Veedhi, Gandhinagar, Bengaluru - 560001, Karnataka, India",Gandhinagar
Jammu and Kashmir,Unknown,2022,January,Saturday,2:23,Serious,4,Two-Wheeler,3,5,Hazy,National Highway,Under Construction,Dusk,Police Checkpost,103,29,Male,Expired,No,Curve,"Unknown, Jammu and Kashmir",33.91667,76.66667,"Rangdun-Lingshed, Sham Valley, -, Ladakh, India",Sham Valley
Chandigarh,Unknown,2021,November,Friday,14:20,Serious,1,Two-Wheeler,2,3,Clear,National Highway,Wet,Daylight,Police Checkpost,46,27,Female,,No,Bridge,"Unknown, Chandigarh",30.73629,76.7884,"unnamed road, Sector 18, Chandigarh - 160018, Chandigarh, India",Sector 18
Madhya Pradesh,Unknown,2020,January,Sunday,20:5,Minor,4,Two-Wheeler,7,5,Clear,National Highway,Under Construction,Dawn,Signs,81,35,Female,,Yes,Straight Road,"Unknown, Madhya Pradesh",21.8464578,79.9459294,"Unknown, Waraseoni Tahsil, India",Waraseoni Tahsil
Odisha,Unknown,2021,November,Friday,9:13,Minor,3,Two-Wheeler,9,4,Hazy,Village Road,Damaged,Daylight,,31,58,Male,Expired,No,Bridge,"Unknown, Odisha",18.9668959,84.3684974,"Unknown Temple, Bhima point tracking Path, Gajapati, Burakhat, Odisha, India",Bhima point tracking Path
Rajasthan,Jodhpur,2022,August,Friday,10:34,Minor,3,Two-Wheeler,9,0,Clear,State Highway,Wet,Daylight,Signs,90,65,Male,Valid,Yes,Bridge,"Jodhpur, Rajasthan",26.2967719,73.0351433,"unnamed road, Paota, Jodhpur - 342010, Rajasthan, India",Paota
Uttarakhand,Unknown,2018,July,Friday,6:40,Serious,5,Cycle,3,0,Hazy,State Highway,Damaged,Dusk,Signs,61,18,Male,Expired,Yes,Bridge,"Unknown, Uttarakhand",30.25,79.25,"Gopeshwar Road, Chamoli, Pipalsera - 246444, Uttarakhand, India",Chamoli
Uttarakhand,Unknown,2022,August,Monday,23:32,Serious,3,Auto-Rickshaw,1,3,Clear,Urban Road,Under Construction,Dark,Signs,66,54,Male,Valid,Yes,Bridge,"Unknown, Uttarakhand",30.25,79.25,"Gopeshwar Road, Chamoli, Pipalsera - 246444, Uttarakhand, India",Chamoli
Kerala,Unknown,2020,January,Thursday,19:54,Serious,3,Bus,3,3,Clear,National Highway,Dry,Dark,Police Checkpost,44,56,Female,Expired,No,Intersection,"Unknown, Kerala",9.9627112,76.2897971,"Manikkath Road, Perumanoor, Ernakulam - 680016, Kerala, India",Perumanoor
Madhya Pradesh,Unknown,2022,November,Wednesday,20:31,Fatal,3,Pedestrian,9,3,Clear,Village Road,Under Construction,Daylight,Police Checkpost,69,61,Female,,Yes,Curve,"Unknown, Madhya Pradesh",21.8464578,79.9459294,"Unknown, Waraseoni Tahsil, India",Waraseoni Tahsil
Meghalaya,Unknown,2022,March,Thursday,3:10,Serious,5,Pedestrian,8,3,Hazy,State Highway,Wet,Daylight,,98,51,Male,,No,Intersection,"Unknown, Meghalaya",25.5,91.33333,"West Khasi Hills, Nongstoin - 793119, Meghalaya, India",Nongstoin - 793119
Himachal Pradesh,Unknown,2020,June,Tuesday,1:8,Serious,5,Car,4,1,Stormy,Village Road,Damaged,Dusk,,37,68,Male,Valid,No,Straight Road,"Unknown, Himachal Pradesh",32.176123,76.6980857,"Unknown Tea Shop, Jalsu Binwa Stream, Kangra, -, Himachal Pradesh, India",Jalsu Binwa Stream
Karnataka,Bangalore,2022,June,Friday,20:12,Fatal,4,Auto-Rickshaw,1,0,Clear,Village Road,Wet,Dawn,Signals,39,40,Female,Expired,Yes,Straight Road,"Bangalore, Karnataka",12.9767936,77.590082,"Doctor B R Ambedkar Veedhi, Gandhinagar, Bengaluru - 560001, Karnataka, India",Gandhinagar
Goa,Unknown,2019,May,Friday,12:0,Serious,3,Two-Wheeler,0,2,Rainy,Village Road,Under Construction,Dawn,,60,34,Female,Valid,Yes,Intersection,"Unknown, Goa",44.4264,8.91519,"Emanuelli Simoncini - Materiali edili, Via Bari, 16134 Genoa Genoa, Italy",Via Bari
Tamil Nadu,Madurai,2019,October,Monday,18:40,Minor,5,Two-Wheeler,1,5,Clear,Urban Road,Damaged,Daylight,,61,52,Female,Valid,No,Bridge,"Madurai, Tamil Nadu",9.9261153,78.1140983,"unnamed road, Arappalayam, Madurai - 625010, Tamil Nadu, India",Arappalayam
Telangana,Unknown,2020,June,Monday,8:7,Fatal,3,Cycle,0,5,Stormy,National Highway,Under Construction,Dawn,Signals,54,50,Male,Expired,Yes,Curve,"Unknown, Telangana",17.83333,79.08333,"Jangaon, Bonakallur - 500010, Telangana, India",Bonakallur - 500010
Tripura,Unknown,2020,January,Friday,6:37,Minor,5,Pedestrian,8,1,Rainy,National Highway,Damaged,Dusk,Police Checkpost,82,61,Female,,No,Intersection,"Unknown, Tripura",24.0,92.0,"unnamed road, Dhalai, Manu - 799275, Tripura, India",Dhalai
