State Name,Year,Month,Day of Week,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Speed Limit (km/h),Driver Age,Driver Gender,Accident Location Details,Time_of_Day_Numerical,Alcohol Involvement_Yes
Punjab,2019,5,4,0,3,6,8,0,7,5,2,1,99,29,1,1,2940,1
Himachal Pradesh,2020,5,2,1,4,7,5,4,7,6,1,2,111,37,2,1,62640,1
Haryana,2023,5,5,0,1,4,3,1,7,4,5,3,98,56,2,1,1560,1
Sikkim,2023,5,5,0,2,8,4,0,2,5,1,2,37,67,1,4,45000,0
Mizoram,2021,5,3,2,1,8,10,5,7,4,1,2,67,45,1,1,55620,1
Sikkim,2021,5,6,1,5,6,3,1,4,6,1,2,78,56,1,4,36720,0
Sikkim,2020,5,5,1,4,7,8,4,2,5,2,2,73,70,1,7,30840,0
Telangana,2020,5,3,2,3,8,6,1,1,4,5,3,41,24,2,4,30540,0
Meghalaya,2019,5,2,2,5,7,0,1,4,6,1,1,100,52,1,1,61320,0
Chhattisgarh,2022,5,1,2,3,4,10,0,1,4,1,2,54,54,1,1,71880,0
Gujarat,2022,5,4,0,5,8,5,1,1,6,5,2,84,61,2,1,8400,0
Jharkhand,2022,5,4,1,4,2,4,1,4,5,5,4,103,58,2,8,51480,1
Chhattisgarh,2019,5,6,0,3,6,8,5,2,6,2,3,103,62,2,7,32340,0
Nagaland,2019,5,6,1,5,7,10,4,2,6,1,3,97,28,1,8,77700,0
Assam,2023,5,6,2,1,4,1,3,1,5,5,1,60,48,1,1,84300,1
Tripura,2018,5,4,2,5,7,1,0,4,5,6,4,38,49,2,1,44880,0
Bihar,2018,5,4,2,4,7,0,2,4,4,5,3,56,56,1,1,52380,0
Goa,2022,5,3,2,2,7,9,2,1,6,5,1,100,59,1,1,52920,0
Assam,2020,5,2,2,2,7,9,5,7,6,2,2,79,22,2,4,2940,0
Mizoram,2020,5,2,2,4,4,0,4,7,6,6,2,104,18,2,1,33660,1
Nagaland,2020,5,7,1,1,7,10,2,7,6,2,3,40,60,2,4,49620,0
West Bengal,2018,5,7,2,4,1,2,5,7,6,5,1,49,49,1,7,41580,1
Manipur,2022,5,7,2,3,7,10,4,7,6,6,4,93,70,2,1,50700,1
Goa,2022,5,7,0,4,2,10,1,7,5,6,1,59,48,1,8,4980,0
Maharashtra,2023,5,7,2,2,8,6,2,1,6,6,1,46,49,2,1,56160,1
Goa,2020,5,5,1,5,7,9,2,1,6,2,1,49,34,2,8,15060,1
Mizoram,2018,5,2,1,4,6,4,5,2,4,1,1,46,62,2,7,66120,1
Sikkim,2019,5,7,1,2,7,0,2,2,4,5,1,109,21,1,8,77280,1
Haryana,2019,5,7,0,3,7,2,4,1,6,1,2,96,53,1,1,72780,1
Tripura,2019,5,5,1,5,6,6,0,2,4,5,4,35,40,2,4,19380,1
Assam,2023,5,2,2,2,7,6,1,1,6,5,2,95,21,2,4,30240,1
Maharashtra,2022,5,3,2,5,6,10,0,7,4,6,1,75,37,2,8,20340,1
Manipur,2021,5,3,2,3,7,9,1,2,5,6,4,49,36,1,4,83340,0
Madhya Pradesh,2023,5,2,2,2,8,7,1,2,6,1,4,65,35,1,8,47340,1
Bihar,2018,5,2,2,2,1,1,5,2,5,6,3,101,45,1,7,52800,0
Kerala,2022,5,6,1,5,7,7,2,7,4,5,4,106,54,1,4,31200,1
Chandigarh,2022,5,1,0,2,4,3,1,4,6,5,3,101,49,2,7,72420,1
Karnataka,2019,5,6,1,4,8,8,0,7,4,1,3,68,50,2,8,51120,1
Karnataka,2020,5,5,1,5,4,4,1,7,6,5,3,66,34,2,8,46800,0
Puducherry,2019,5,4,1,2,1,10,2,2,5,6,2,118,42,1,4,79020,1
Maharashtra,2020,5,6,2,4,2,1,0,4,4,6,3,71,20,2,4,43560,0
Goa,2021,5,6,1,2,4,6,4,7,6,5,2,30,66,1,7,13140,0
Assam,2021,5,7,2,5,4,3,3,7,6,2,4,32,60,2,1,27240,1
Chandigarh,2020,5,3,1,2,7,2,5,1,6,2,3,107,60,2,4,61080,0
Meghalaya,2021,5,7,0,1,8,0,2,4,4,6,2,112,37,2,1,1320,0
Odisha,2023,5,6,1,5,2,10,0,1,4,1,1,78,44,2,7,47220,0
Nagaland,2019,5,2,2,1,8,5,3,2,6,2,2,31,20,2,4,68700,1
Odisha,2020,5,5,0,3,4,2,0,1,6,5,3,104,43,1,8,52620,1
Tamil Nadu,2021,5,5,0,5,2,5,4,2,6,5,1,72,22,1,4,51000,1
Goa,2020,5,2,2,1,8,8,5,2,5,5,1,107,20,2,8,63060,1
Manipur,2023,5,4,2,1,2,6,3,4,4,5,1,52,70,2,7,79500,0
Delhi,2020,5,6,1,4,7,3,4,7,4,6,3,57,51,1,4,75060,1
Sikkim,2018,5,3,1,5,7,5,2,4,5,1,4,105,26,2,4,3900,1
Karnataka,2021,5,6,0,4,7,10,3,1,6,1,2,56,37,2,4,39840,1
Maharashtra,2019,5,3,2,5,6,0,4,2,6,6,1,99,50,1,7,9000,0
Delhi,2018,5,4,0,4,4,8,3,7,4,6,1,48,47,1,7,120,1
Haryana,2019,5,5,0,5,7,5,3,2,6,6,4,59,32,2,4,84240,1
Assam,2018,5,5,1,3,2,9,5,4,4,2,2,51,45,2,7,18240,0
Jharkhand,2019,5,6,0,4,8,2,1,2,6,5,2,115,48,1,8,52380,0
Nagaland,2019,5,1,2,2,4,8,5,7,5,1,2,46,43,2,4,48420,0
Delhi,2018,5,4,0,2,7,5,3,2,6,5,3,69,64,1,7,13320,0
Maharashtra,2022,5,3,1,4,7,1,0,7,6,5,2,119,37,2,8,9600,1
Himachal Pradesh,2019,5,3,1,5,7,2,1,2,5,1,1,60,42,2,4,24960,0
Gujarat,2019,5,4,2,2,2,4,1,7,5,2,2,46,23,2,7,63180,0
Tamil Nadu,2018,5,7,0,1,7,8,0,7,4,5,4,103,47,1,8,56160,1
Assam,2020,5,6,2,4,8,7,2,1,4,2,4,75,55,2,4,72120,1
Kerala,2019,5,5,1,5,4,1,4,7,6,1,2,75,39,1,1,44640,0
Rajasthan,2020,5,7,1,3,1,10,4,2,5,6,2,56,39,2,4,52740,1
Andhra Pradesh,2020,5,2,0,3,6,9,3,7,6,1,3,57,59,1,4,66240,1
Delhi,2018,5,5,2,5,6,9,5,4,4,6,2,45,52,2,8,48060,1
Puducherry,2018,5,7,0,4,7,3,0,4,5,6,2,88,69,2,1,38700,1
Gujarat,2020,5,1,1,1,8,10,4,2,6,1,2,114,42,1,7,8640,1
Uttarakhand,2023,5,3,0,1,7,7,1,4,6,6,3,32,19,2,7,37440,0
Odisha,2019,5,5,1,3,1,0,5,2,6,5,3,105,39,1,4,42180,0
Delhi,2020,5,2,2,5,7,7,1,7,5,1,2,112,21,1,7,83880,0
Arunachal Pradesh,2023,5,3,0,2,7,9,5,2,6,6,2,102,45,2,7,38040,1
Uttar Pradesh,2021,5,1,2,1,8,10,2,7,6,1,3,87,27,1,1,73860,0
Chhattisgarh,2023,5,1,2,3,4,9,3,2,5,5,4,71,42,2,4,46080,1
Assam,2019,5,4,2,3,2,3,5,7,5,1,2,47,20,1,4,81720,1
Manipur,2018,5,4,1,2,6,5,0,2,6,5,2,39,38,1,4,82320,0
Kerala,2023,5,7,0,4,4,10,1,4,6,2,1,37,33,2,8,33660,1
Andhra Pradesh,2021,5,6,0,1,8,3,0,1,4,1,1,86,23,1,8,54720,0
Goa,2023,5,6,0,4,2,6,2,1,5,2,3,65,40,2,7,4320,1
Delhi,2021,5,2,1,3,7,7,5,7,6,5,1,95,24,2,1,55680,0
Tamil Nadu,2023,5,5,2,5,8,7,5,7,4,2,1,42,55,2,4,47940,1
Uttar Pradesh,2020,5,1,2,1,6,7,5,2,4,5,4,76,18,2,1,63900,1
Mizoram,2023,5,1,1,5,6,2,0,7,4,5,2,38,66,1,8,57240,0
Tamil Nadu,2023,5,6,1,5,7,0,5,7,5,2,1,37,50,2,4,34440,0
Tripura,2023,5,4,2,3,7,8,3,7,5,2,4,36,56,1,4,25680,0
Odisha,2019,5,6,1,1,4,10,3,2,6,6,3,104,53,2,4,71040,0
Telangana,2021,5,6,1,1,7,4,1,1,4,5,1,34,19,2,8,76740,1
Meghalaya,2018,5,5,0,1,4,2,5,1,6,5,3,69,31,2,4,25020,0
Nagaland,2019,5,7,1,3,1,2,4,7,4,6,1,105,42,1,1,60360,0
Karnataka,2020,5,4,0,5,2,0,3,4,6,1,2,80,51,2,1,79260,1
Tripura,2019,5,7,2,2,4,8,0,2,4,2,1,71,31,1,7,25740,1
Jharkhand,2019,5,3,1,5,7,6,5,1,4,5,3,64,29,1,4,8280,0
Chhattisgarh,2022,5,2,0,4,4,3,2,7,5,6,1,115,70,1,7,32280,0
Uttarakhand,2019,5,1,0,3,1,3,0,7,4,1,3,37,58,2,7,58500,0
Goa,2023,5,4,0,3,4,0,1,4,4,6,4,64,19,1,8,52140,0
Andhra Pradesh,2019,5,3,1,4,8,4,3,4,4,5,1,117,36,2,8,21120,1
Arunachal Pradesh,2021,5,7,1,1,4,10,5,7,5,1,1,115,26,1,1,66120,1
Kerala,2020,5,5,1,4,4,5,4,1,6,6,4,110,26,2,4,13620,0
Rajasthan,2020,5,2,2,1,7,4,3,7,6,5,2,36,20,2,1,21540,0
Mizoram,2021,5,1,0,2,6,9,4,1,6,5,3,49,50,1,1,54900,1
Meghalaya,2021,5,7,2,5,4,4,4,4,6,2,2,70,46,1,1,74400,0
Tripura,2022,5,2,2,3,4,8,2,1,6,6,1,101,24,2,1,51780,1
Rajasthan,2022,5,7,1,5,7,10,1,2,6,1,1,55,31,2,8,36120,1
Mizoram,2022,5,4,2,4,8,4,5,7,4,1,4,32,61,1,1,20760,1
Chhattisgarh,2021,5,7,0,3,6,9,5,2,6,6,4,107,25,1,8,1860,0
Mizoram,2022,5,7,1,4,7,9,2,7,6,6,2,101,22,1,7,71220,1
Haryana,2020,5,7,1,2,7,10,3,1,6,6,2,61,46,2,4,81360,0
Bihar,2021,5,1,2,2,8,8,4,2,5,6,1,107,70,1,1,62040,0
West Bengal,2018,5,4,0,4,8,5,4,7,4,5,4,59,29,1,8,77340,1
Jharkhand,2021,5,7,2,2,4,3,3,1,4,5,3,62,70,2,1,74940,0
Jammu and Kashmir,2023,5,5,2,4,4,9,4,7,4,1,2,102,59,2,7,58380,1
Arunachal Pradesh,2021,5,2,2,1,7,6,1,1,5,5,4,33,28,2,4,41820,0
Odisha,2022,5,3,0,3,1,2,5,2,6,1,1,31,33,1,7,82980,0
Meghalaya,2019,5,1,0,5,4,8,2,4,5,5,3,58,19,2,8,66720,0
Chhattisgarh,2021,5,3,2,1,8,8,2,7,6,1,1,99,56,1,4,33360,0
Jammu and Kashmir,2022,5,7,2,1,7,8,5,7,6,1,1,88,60,2,4,60120,1
Meghalaya,2022,5,4,0,3,8,8,0,4,6,6,2,45,23,1,8,3060,1
Himachal Pradesh,2023,5,6,2,1,8,10,3,7,6,1,1,101,20,2,7,83760,1
Andhra Pradesh,2019,5,3,2,2,2,9,0,7,5,6,1,61,62,2,8,76980,1
West Bengal,2020,5,5,2,3,7,10,5,7,5,1,3,104,67,2,4,83040,0
Jharkhand,2020,5,4,0,2,1,10,4,4,5,6,2,112,37,2,7,46980,0
Chandigarh,2019,5,6,2,3,1,5,4,2,5,2,3,80,19,2,1,76680,0
Jammu and Kashmir,2023,5,6,1,4,4,3,3,1,5,1,3,116,28,1,4,82860,1
Telangana,2021,5,1,1,3,8,5,4,2,6,5,2,72,69,2,7,45900,0
Madhya Pradesh,2020,5,2,0,4,7,2,1,2,4,6,2,59,52,1,1,33360,1
Mizoram,2022,5,5,0,2,1,0,2,2,6,2,3,40,42,2,8,41400,1
Kerala,2022,5,6,0,5,6,9,3,7,6,5,1,107,40,1,4,51360,1
Sikkim,2021,5,6,2,1,6,5,2,2,6,2,3,101,68,2,8,5040,0
Rajasthan,2020,5,2,1,1,8,8,1,2,5,1,4,79,62,1,1,17880,0
Punjab,2021,5,4,1,5,2,5,3,7,5,6,1,50,45,2,1,79560,1
Chandigarh,2019,5,1,0,5,8,8,3,4,4,5,4,89,69,1,7,82020,1
Jammu and Kashmir,2021,5,7,1,4,7,9,5,7,4,5,3,34,41,2,7,80100,1
Haryana,2023,5,3,2,2,7,2,4,1,5,6,1,34,23,1,7,25140,0
Nagaland,2021,5,3,2,5,8,4,5,2,5,2,3,59,53,1,4,56940,0
Manipur,2022,5,1,0,5,7,3,2,7,5,5,3,32,68,2,4,6360,0
Sikkim,2021,5,3,2,2,1,7,4,7,4,1,2,37,61,2,8,37080,0
Manipur,2018,5,5,1,3,6,5,0,4,6,1,4,120,53,2,8,45900,1
Manipur,2021,5,5,0,2,2,9,2,1,5,2,3,92,67,2,8,80340,0
Tripura,2022,5,7,1,5,1,3,1,1,5,2,3,77,45,2,4,61920,1
Haryana,2021,5,7,0,3,1,5,0,1,4,1,4,72,43,1,7,11760,0
Chandigarh,2020,5,2,0,4,1,0,3,2,5,2,1,58,18,2,8,54600,0
Puducherry,2020,5,4,1,4,7,1,3,1,4,1,2,70,65,2,1,34200,1
Karnataka,2020,5,3,0,3,7,2,4,2,4,6,4,97,32,2,4,35040,1
Assam,2018,5,1,2,2,8,7,1,4,6,2,3,118,55,1,4,51300,1
Karnataka,2020,5,4,0,4,2,6,3,2,6,5,2,74,64,2,8,78780,1
Himachal Pradesh,2020,5,2,2,2,1,9,0,4,5,5,3,100,29,1,1,72180,0
Delhi,2021,5,4,1,2,7,3,0,1,6,1,1,76,31,2,1,51360,0
Haryana,2022,5,1,0,2,4,4,3,1,6,2,4,98,24,1,4,75360,1
Jammu and Kashmir,2022,5,2,2,3,4,0,0,4,6,6,2,99,20,2,8,31920,0
Tripura,2018,5,5,1,4,7,10,2,1,6,6,4,31,31,1,4,79020,0
Mizoram,2021,5,1,1,3,8,6,5,1,4,2,4,108,27,2,4,540,0
Haryana,2023,5,1,0,3,7,4,1,2,4,2,3,54,19,1,8,69300,1
Jammu and Kashmir,2023,5,3,1,3,2,0,3,7,6,2,3,61,61,1,8,35280,0
Kerala,2021,5,2,2,4,7,2,5,2,6,1,2,31,25,1,8,38280,0
Jharkhand,2021,5,5,0,2,7,2,4,1,6,2,4,67,35,1,1,9960,0
Jammu and Kashmir,2018,5,6,0,1,7,3,4,7,4,1,2,112,32,2,8,62220,1
Jammu and Kashmir,2022,5,3,0,1,2,1,5,7,6,5,3,61,59,1,7,51240,1
Nagaland,2020,5,2,0,1,7,3,1,7,5,1,3,91,34,2,8,66120,0
Jammu and Kashmir,2020,5,4,0,5,6,10,2,1,4,2,3,111,36,1,4,38760,0
Rajasthan,2021,5,5,2,5,7,10,0,4,6,1,3,102,34,2,1,43200,1
Kerala,2022,5,1,2,5,6,6,0,4,6,5,4,55,23,2,8,14160,0
Jharkhand,2021,5,5,2,1,1,2,0,7,4,5,2,34,30,1,4,16200,1
Punjab,2022,5,2,0,4,7,8,3,2,6,6,4,32,24,2,7,72780,0
Uttar Pradesh,2021,5,3,0,1,2,3,4,2,5,6,3,111,42,1,4,51600,1
Sikkim,2022,5,1,0,1,7,7,1,7,6,5,1,118,38,2,7,73140,0
Punjab,2021,5,1,1,2,1,1,0,4,4,2,2,40,35,1,8,3780,0
Maharashtra,2018,5,1,1,1,4,8,1,7,5,6,1,55,45,1,7,47100,1
Assam,2019,5,5,0,3,2,8,2,1,6,6,2,74,64,2,1,32820,1
Jammu and Kashmir,2018,5,3,1,4,4,10,2,7,5,2,1,45,64,2,4,25320,0
Sikkim,2022,5,4,2,5,6,1,3,7,6,6,4,59,36,1,1,34260,0
Uttar Pradesh,2022,5,5,2,4,2,8,5,2,6,5,4,111,21,1,4,20280,0
Mizoram,2021,5,3,1,3,7,1,5,7,5,5,4,111,43,2,1,76320,1
Chhattisgarh,2020,5,4,1,2,7,1,2,2,6,5,3,40,56,2,1,12420,1
Manipur,2018,5,6,2,5,7,3,3,7,4,5,1,91,40,1,8,66780,0
Goa,2020,5,1,0,2,2,7,1,7,6,5,2,72,70,2,8,75600,0
Sikkim,2021,5,1,0,2,6,4,2,1,5,2,1,51,36,1,4,48120,1
Jharkhand,2023,5,4,2,3,1,2,4,1,6,2,4,102,64,1,7,63660,1
Bihar,2023,5,3,1,3,2,5,3,1,5,1,2,30,50,1,7,71880,1
Chhattisgarh,2018,5,1,0,2,7,3,0,7,5,5,3,112,70,1,1,120,0
Uttarakhand,2020,5,7,0,2,4,10,1,1,4,1,4,53,57,1,4,16500,0
Meghalaya,2023,5,5,2,4,6,2,3,2,4,1,4,45,49,2,1,74160,1
Maharashtra,2020,5,2,1,2,6,0,4,2,6,2,2,106,46,2,8,7500,0
Kerala,2021,5,4,1,4,7,8,0,1,4,5,3,76,26,2,7,29640,1
Kerala,2023,5,1,0,1,8,2,4,7,5,6,3,76,54,1,7,79800,0
Assam,2019,5,1,1,5,7,4,3,4,6,6,4,81,50,2,8,50400,1
Andhra Pradesh,2022,5,6,1,2,2,8,3,7,4,6,1,51,44,1,4,18480,0
Maharashtra,2019,5,2,1,1,2,2,4,2,5,5,4,32,27,2,7,54300,0
Gujarat,2023,5,1,0,2,7,10,5,1,4,5,1,91,25,1,4,77280,0
Arunachal Pradesh,2023,5,2,0,3,4,0,2,2,5,1,1,82,50,1,4,63420,0
Mizoram,2022,5,5,1,2,1,7,4,2,6,6,3,86,43,1,1,16020,0
Gujarat,2022,5,4,0,1,7,4,1,7,6,2,4,81,26,2,8,16020,1
Meghalaya,2020,5,5,0,5,7,6,5,1,6,6,4,59,33,1,1,7800,1
West Bengal,2019,5,1,1,1,4,8,1,4,6,6,4,112,49,1,4,66720,0
Uttarakhand,2021,5,7,1,2,2,0,4,7,5,1,1,30,34,1,4,30300,1
Gujarat,2021,5,7,1,5,1,0,1,7,5,2,4,109,31,2,1,42060,0
Assam,2023,5,6,0,5,4,6,4,7,6,2,4,84,57,1,8,5280,1
Chandigarh,2019,5,4,1,4,4,6,4,2,6,6,1,67,68,2,8,12180,1
Odisha,2018,5,4,2,2,7,3,5,2,5,2,1,59,27,1,8,70200,1
Telangana,2020,5,7,2,1,2,5,0,4,6,6,1,31,60,2,8,75960,1
Assam,2019,5,1,1,5,1,0,5,2,6,5,1,47,26,1,4,59880,1
Chandigarh,2019,5,6,0,4,2,5,1,7,4,6,3,90,34,2,4,780,1
Puducherry,2023,5,5,0,1,6,0,1,2,4,6,3,87,34,1,7,83820,0
Rajasthan,2022,5,2,1,1,6,4,2,7,6,2,3,86,68,2,8,3660,0
Uttar Pradesh,2021,5,5,2,5,6,8,1,7,5,5,1,97,48,1,1,74160,1
Andhra Pradesh,2022,5,2,0,5,2,7,3,7,4,5,3,107,63,1,8,30900,0
Maharashtra,2019,5,1,2,4,1,5,1,4,4,5,4,32,47,2,4,49260,0
Uttar Pradesh,2022,5,1,1,2,2,4,1,4,4,2,2,33,18,2,8,45420,1
Meghalaya,2022,5,7,0,5,7,9,2,7,4,6,4,75,21,1,7,78900,1
Himachal Pradesh,2021,5,1,2,1,8,6,3,7,6,1,2,42,24,1,1,80220,0
Puducherry,2018,5,7,2,1,2,6,2,2,4,6,2,72,35,2,1,56700,0
Goa,2023,5,4,0,1,4,2,3,7,4,1,4,93,60,2,4,2700,1
Sikkim,2023,5,4,1,2,2,10,5,4,6,1,1,69,43,2,8,72600,1
Himachal Pradesh,2020,5,6,1,4,6,0,0,7,6,2,1,40,18,2,8,35460,1
West Bengal,2021,5,7,2,5,7,5,0,7,4,6,4,108,64,1,8,41880,1
Gujarat,2021,5,2,1,1,4,0,2,1,5,6,1,106,22,1,7,64380,1
Tamil Nadu,2018,5,4,1,4,7,7,3,7,4,6,2,106,37,1,1,42360,0
Jammu and Kashmir,2023,5,3,1,4,4,9,3,7,4,1,2,58,38,2,4,67020,0
Sikkim,2023,5,1,0,4,1,2,2,1,6,5,3,93,57,1,7,28620,0
Telangana,2022,5,2,2,5,4,8,0,7,4,1,4,49,49,1,4,2040,0
Odisha,2020,5,3,0,5,7,8,5,2,4,5,4,83,38,1,4,19680,0
Chandigarh,2019,5,4,2,4,7,1,0,2,6,6,3,59,35,1,1,5820,0
Jharkhand,2020,5,4,1,1,4,9,5,4,5,6,3,108,40,1,8,15780,1
Odisha,2019,5,5,1,3,8,8,2,2,4,1,1,50,54,1,7,16260,1
Punjab,2018,5,4,2,1,7,6,4,4,6,2,2,36,42,1,7,3720,0
Tamil Nadu,2022,5,1,2,2,7,2,2,1,4,6,4,105,23,2,4,7680,1
Gujarat,2018,5,4,0,2,7,4,4,7,6,5,2,86,62,2,8,36600,0
Goa,2023,5,3,1,1,7,8,1,2,6,6,2,80,20,1,4,43500,0
Delhi,2018,5,7,1,3,6,7,5,2,5,1,2,114,70,2,7,47160,0
Goa,2022,5,5,1,1,2,10,1,1,4,2,3,34,25,2,1,19740,0
Assam,2022,5,5,1,1,7,8,1,1,6,5,1,67,21,2,8,34140,0
Kerala,2018,5,1,1,4,8,2,1,1,6,1,2,87,68,1,8,6960,0
Rajasthan,2020,5,4,0,4,7,4,5,4,5,6,1,75,67,2,7,58620,0
Assam,2019,5,3,2,3,7,3,3,1,4,2,3,104,19,2,4,49020,1
Manipur,2022,5,7,1,2,1,4,4,7,6,2,2,49,34,1,1,14160,0
Odisha,2023,5,3,0,2,8,0,1,1,4,5,1,110,66,2,7,10620,1
Assam,2018,5,6,0,3,1,8,0,4,6,1,2,36,18,2,8,8820,1
Meghalaya,2018,5,1,1,5,1,8,5,2,4,6,3,38,45,2,7,12780,1
Bihar,2019,5,1,0,5,1,4,2,1,6,1,1,117,56,1,8,25080,0
West Bengal,2021,5,7,2,1,4,2,2,7,6,6,4,65,42,1,4,32880,0
Tamil Nadu,2023,5,4,0,5,7,5,4,7,4,6,2,58,20,1,8,9120,0
Rajasthan,2018,5,6,2,2,7,7,4,7,6,6,4,94,44,2,1,67260,1
Maharashtra,2018,5,3,0,4,7,6,0,1,6,5,3,107,22,1,1,44760,1
Haryana,2018,5,3,1,5,7,4,2,4,5,1,3,42,51,2,8,76260,1
Nagaland,2023,5,6,1,1,2,8,2,1,6,6,1,45,48,2,7,69060,0
Rajasthan,2018,5,4,1,3,1,10,1,2,4,1,2,54,45,2,8,1080,0
Chandigarh,2019,5,4,1,5,1,5,2,1,5,5,3,72,30,1,4,5160,0
Puducherry,2021,5,3,1,4,4,9,2,2,5,1,4,45,50,1,4,62280,1
Madhya Pradesh,2018,5,3,1,1,2,1,4,1,4,1,3,103,21,2,4,5100,0
Haryana,2023,5,6,1,1,7,9,1,1,6,2,4,110,53,2,8,78300,0
Delhi,2020,5,4,1,1,8,3,1,7,5,1,1,102,24,1,7,85020,0
Arunachal Pradesh,2019,5,3,2,3,8,7,1,4,5,1,3,95,28,2,1,43920,0
Arunachal Pradesh,2018,5,1,0,2,4,4,3,1,6,6,2,46,53,2,1,60840,1
Meghalaya,2020,5,6,1,3,4,10,5,1,6,5,2,84,36,1,8,51780,0
Arunachal Pradesh,2023,5,6,1,1,1,8,3,2,4,2,4,85,59,2,8,37140,0
Uttarakhand,2018,5,5,0,1,7,1,0,2,6,6,2,84,26,1,4,11160,1
Jharkhand,2021,5,3,2,2,4,7,3,2,5,6,4,49,34,1,7,2460,1
Mizoram,2023,5,7,1,2,2,2,3,7,4,1,4,106,36,1,8,15900,0
Manipur,2021,5,7,0,2,6,9,3,7,6,6,1,62,28,1,4,63900,1
Meghalaya,2018,5,3,2,3,8,10,2,1,5,6,2,62,55,1,1,22920,1
Tamil Nadu,2023,5,6,1,3,7,9,3,1,6,6,4,119,63,2,8,79620,0
Punjab,2022,5,6,2,4,6,10,3,2,5,5,2,114,22,1,1,81660,0
Himachal Pradesh,2019,5,3,0,5,7,6,3,7,6,2,1,59,69,1,1,34680,1
Jharkhand,2020,5,4,2,3,1,10,2,4,6,1,3,120,18,2,8,11460,1
Gujarat,2020,5,1,1,1,4,2,0,4,4,1,1,94,41,2,7,78300,0
Arunachal Pradesh,2023,5,6,1,4,6,5,4,7,6,5,1,46,39,1,1,81000,1
Kerala,2023,5,1,1,1,2,4,3,7,5,1,3,60,35,1,8,7320,1
Tamil Nadu,2023,5,2,0,4,7,9,2,2,6,2,4,77,51,1,8,31920,1
Jharkhand,2022,5,3,2,5,2,9,5,7,6,1,1,116,42,1,7,7680,1
Meghalaya,2022,5,4,1,1,6,8,4,2,5,2,4,66,24,2,8,52740,1
Assam,2020,5,4,0,2,4,6,4,4,5,5,4,62,33,1,1,66960,0
Maharashtra,2020,5,1,0,5,7,0,5,7,6,2,2,43,69,1,1,12360,0
Karnataka,2023,5,3,0,1,2,0,4,2,6,6,4,60,68,2,8,8160,1
Uttar Pradesh,2020,5,2,0,3,6,8,2,7,5,1,4,93,19,2,4,71700,1
Haryana,2018,5,6,2,1,7,2,4,7,4,6,3,79,55,2,8,55140,1
Telangana,2018,5,6,2,5,8,6,3,2,5,1,3,43,64,1,8,33120,0
Telangana,2022,5,5,1,2,8,9,4,4,5,1,4,103,48,1,1,7920,1
Sikkim,2020,5,3,0,4,7,1,3,2,4,2,2,77,22,1,4,33720,1
West Bengal,2021,5,4,0,3,4,7,1,2,6,2,2,45,24,2,4,17760,0
Assam,2023,5,6,0,4,1,4,2,4,6,1,2,44,46,1,8,15180,1
Nagaland,2020,5,6,0,1,6,5,4,4,6,5,4,106,61,2,4,2220,1
Himachal Pradesh,2018,5,6,1,3,7,8,0,4,6,5,4,51,34,2,8,35820,1
Tamil Nadu,2022,5,6,1,1,7,8,1,7,4,2,1,119,68,2,8,41280,0
Nagaland,2019,5,7,2,2,7,2,2,7,6,5,2,32,63,2,7,81480,1
Goa,2018,5,5,2,2,8,9,1,2,4,2,2,98,50,2,4,12960,0
Rajasthan,2022,5,3,1,4,2,6,4,7,6,6,3,115,48,2,7,2520,0
Gujarat,2022,5,7,1,5,4,6,0,7,4,2,3,54,43,2,8,38220,0
Odisha,2018,5,3,0,2,2,9,4,7,5,1,4,75,56,1,1,24120,0
Arunachal Pradesh,2020,5,1,1,3,1,0,4,7,6,1,2,98,42,1,1,54840,1
Himachal Pradesh,2019,5,7,2,3,7,2,0,7,6,2,2,118,64,2,8,40200,1
Jammu and Kashmir,2023,5,7,0,1,7,8,2,7,4,6,2,32,30,1,8,4680,1
Madhya Pradesh,2022,5,7,1,3,1,8,2,7,5,1,1,69,54,2,7,38520,1
Odisha,2018,5,4,0,1,1,0,2,2,4,1,1,105,33,1,4,39720,1
Tamil Nadu,2022,5,7,0,3,7,1,4,4,6,1,2,46,63,2,4,2340,0
Goa,2023,5,5,1,2,2,2,5,7,5,2,2,111,43,2,8,26640,1
Delhi,2020,5,4,1,5,2,0,0,4,6,5,1,60,44,1,1,49140,1
Goa,2019,5,2,2,4,7,0,1,1,6,6,3,47,45,1,7,60240,0
Mizoram,2023,5,3,0,4,7,5,5,4,4,1,2,65,57,1,8,3960,1
Haryana,2020,5,7,0,5,6,7,5,2,4,1,1,87,27,1,4,2580,1
Uttar Pradesh,2022,5,7,2,3,7,4,0,7,4,1,4,114,52,2,1,77460,1
Puducherry,2018,5,4,2,3,7,8,0,1,6,1,2,31,34,1,4,3120,0
Mizoram,2019,5,7,1,4,7,7,3,2,4,2,3,118,38,2,1,64140,1
Arunachal Pradesh,2019,5,2,0,1,2,9,5,7,5,1,4,34,33,1,7,18420,0
Chhattisgarh,2021,5,4,2,1,7,8,4,1,5,2,2,41,46,2,8,41760,0
Mizoram,2020,5,3,1,4,2,0,0,4,6,5,2,110,66,2,8,37440,0
Delhi,2021,5,2,2,3,6,10,3,7,6,2,4,100,69,2,8,30840,1
Sikkim,2022,5,4,0,4,1,8,1,2,4,2,1,48,40,2,1,17580,1
